60,ART101
61,ART101
65,ART101
98,ART101
99,ART101
41,ART102
65,ART102
85,ART102
68,ART201
11,BIOL101
24,BIOL101
63,BIOL102
31,BIOL201
43,CHEM101
56,CHEM102
14,CHEM201
16,CHEM201
18,CHEM201
33,CHEM201
49,CHEM201
61,CHEM201
8,COMP101
33,COMP101
28,ECON102
49,ECON102
53,ECON102
46,ECON201
49,ECON201
77,ECON201
30,ENGL101
72,ENGL101
85,ENGL102
97,ENGL102
64,ENGL201
98,ENGL201
23,FREN101
39,FREN101
17,FREN102
27,FREN102
63,FREN102
72,FREN102
90,FREN102
42,FREN201
43,FREN201
71,FREN201
13,HIST101
16,HIST101
77,HIST102
31,HIST201
42,ITAL101
49,ITAL101
56,ITAL101
90,ITAL101
20,ITAL102
39,ITAL102
100,ITAL102
41,ITAL201
72,ITAL201
91,ITAL201
93,ITAL201
67,MATH101
23,MUS101
53,MUS101
98,MUS101
15,MUS102
19,MUS102
24,MUS102
74,MUS102
90,MUS102
65,MUS201
72,MUS201
31,PHIL102
69,PHIL102
12,PHYS201
42,PHYS201
63,PHYS201
26,POLS101
7,POLS102
64,POLS102
97,POLS102
35,POLS201
46,POLS201
3,REL101
4,REL101
71,REL101
80,REL101
22,SPAN101
79,SPAN101
62,SPAN102
38,SPAN201
49,SPAN201
52,SPAN201
53,SPAN201
58,SPAN201
71,SPAN201
87,SPAN201
96,SPAN201
10,THEA102
90,THEA102
48,THEA201
